Tempo relativo (ms) , Temperatura (C), Umidita (%), Pressione (hPa)
Sensore non trovato a 0x76! Provo 0x77...
ERRORE: Sensore non trovato. Controlla i cavi.
BME280 Test Alta Velocità
Sensore non trovato a 0x76! Provo 0x77...
ERRORE: Sensore non trovato. Controlla i cavi.
BME280 Test Alta Velocità
Sensore non trovato a 0x76! Provo 0x77...
ERRORE: Sensore non trovato. Controlla i cavi.
137019 ,    282.45 K ,    74.1 % ,    96.111 kPa
138025 ,    282.38 K ,    74.2 % ,    96.113 kPa
139032 ,    282.34 K ,    74.4 % ,    96.116 kPa
140038 ,    282.32 K ,    74.5 % ,    96.114 kPa
141044 ,    282.29 K ,    74.7 % ,    96.115 kPa
142051 ,    282.22 K ,    74.8 % ,    96.114 kPa
143057 ,    282.16 K ,    74.9 % ,    96.114 kPa
144064 ,    282.12 K ,    75.1 % ,    96.114 kPa
145071 ,    282.07 K ,    75.2 % ,    96.115 kPa
146077 ,    282.03 K ,    75.3 % ,    96.117 kPa
147083 ,    281.99 K ,    75.5 % ,    96.115 kPa
148089 ,    281.94 K ,    75.6 % ,    96.114 kPa
149096 ,    281.91 K ,    75.8 % ,    96.115 kPa
150103 ,    281.89 K ,    75.9 % ,    96.116 kPa
151109 ,    281.85 K ,    75.9 % ,    96.113 kPa
152116 ,    281.80 K ,    76.1 % ,    96.113 kPa
153122 ,    281.80 K ,    76.2 % ,    96.114 kPa
154128 ,    281.78 K ,    76.4 % ,    96.113 kPa
155134 ,    281.78 K ,    76.5 % ,    96.116 kPa
156141 ,    281.76 K ,    76.5 % ,    96.115 kPa
157148 ,    281.72 K ,    76.6 % ,    96.116 kPa
158154 ,    281.75 K ,    76.7 % ,    96.114 kPa
159161 ,    281.76 K ,    76.8 % ,    96.116 kPa
160167 ,    281.77 K ,    76.8 % ,    96.114 kPa
161174 ,    281.76 K ,    76.8 % ,    96.117 kPa
162180 ,    281.74 K ,    76.9 % ,    96.112 kPa
163186 ,    281.73 K ,    77.0 % ,    96.112 kPa
164193 ,    281.74 K ,    77.1 % ,    96.114 kPa
165199 ,    281.73 K ,    77.1 % ,    96.115 kPa
166206 ,    281.67 K ,    77.2 % ,    96.114 kPa
167213 ,    281.63 K ,    77.3 % ,    96.113 kPa
168219 ,    281.60 K ,    77.4 % ,    96.114 kPa
169225 ,    281.63 K ,    77.4 % ,    96.113 kPa
170231 ,    281.63 K ,    77.5 % ,    96.113 kPa
171238 ,    281.61 K ,    77.6 % ,    96.112 kPa
172244 ,    281.56 K ,    77.7 % ,    96.113 kPa
173251 ,    281.54 K ,    77.8 % ,    96.117 kPa
174258 ,    281.51 K ,    77.9 % ,    96.116 kPa
175264 ,    281.47 K ,    78.0 % ,    96.116 kPa
176270 ,    281.44 K ,    78.0 % ,    96.112 kPa
177276 ,    281.37 K ,    78.1 % ,    96.113 kPa
178283 ,    281.35 K ,    78.2 % ,    96.115 kPa
179290 ,    281.32 K ,    78.3 % ,    96.114 kPa
180296 ,    281.31 K ,    78.4 % ,    96.113 kPa
181303 ,    281.29 K ,    78.5 % ,    96.113 kPa
182309 ,    281.28 K ,    78.6 % ,    96.114 kPa
183315 ,    281.26 K ,    78.7 % ,    96.113 kPa
184322 ,    281.25 K ,    78.8 % ,    96.114 kPa
185328 ,    281.23 K ,    78.8 % ,    96.117 kPa
186335 ,    281.24 K ,    78.9 % ,    96.116 kPa
187341 ,    281.27 K ,    79.1 % ,    96.115 kPa
188348 ,    281.25 K ,    79.1 % ,    96.114 kPa
189355 ,    281.21 K ,    79.2 % ,    96.115 kPa
190360 ,    281.19 K ,    79.3 % ,    96.114 kPa
191367 ,    281.18 K ,    79.4 % ,    96.114 kPa
192373 ,    281.19 K ,    79.4 % ,    96.112 kPa
193380 ,    281.18 K ,    79.5 % ,    96.114 kPa
194386 ,    281.18 K ,    79.5 % ,    96.114 kPa
195393 ,    281.15 K ,    79.6 % ,    96.116 kPa
196400 ,    281.15 K ,    79.7 % ,    96.115 kPa
197405 ,    281.12 K ,    79.8 % ,    96.114 kPa
198412 ,    281.08 K ,    79.9 % ,    96.113 kPa
199418 ,    281.06 K ,    80.0 % ,    96.112 kPa
200425 ,    281.05 K ,    80.1 % ,    96.118 kPa
201432 ,    281.02 K ,    80.2 % ,    96.114 kPa
202438 ,    281.01 K ,    80.3 % ,    96.115 kPa
203445 ,    280.99 K ,    80.4 % ,    96.114 kPa
204450 ,    280.96 K ,    80.5 % ,    96.120 kPa
205457 ,    280.95 K ,    80.6 % ,    96.117 kPa
206464 ,    280.92 K ,    80.6 % ,    96.117 kPa
207470 ,    280.91 K ,    80.7 % ,    96.117 kPa
208477 ,    280.91 K ,    80.8 % ,    96.115 kPa
209483 ,    280.91 K ,    80.9 % ,    96.118 kPa
210490 ,    280.90 K ,    81.0 % ,    96.114 kPa
211495 ,    280.89 K ,    81.1 % ,    96.116 kPa
212502 ,    280.88 K ,    81.2 % ,    96.118 kPa
213509 ,    280.89 K ,    81.3 % ,    96.121 kPa
214515 ,    280.87 K ,    81.3 % ,    96.121 kPa
215522 ,    280.83 K ,    81.3 % ,    96.117 kPa
216528 ,    280.80 K ,    81.4 % ,    96.119 kPa
217535 ,    280.79 K ,    81.5 % ,    96.119 kPa
218542 ,    280.78 K ,    81.5 % ,    96.120 kPa
219547 ,    280.77 K ,    81.6 % ,    96.118 kPa
220554 ,    280.76 K ,    81.7 % ,    96.122 kPa
221560 ,    280.75 K ,    81.7 % ,    96.118 kPa
222567 ,    280.76 K ,    81.8 % ,    96.118 kPa
223574 ,    280.75 K ,    81.8 % ,    96.116 kPa
224580 ,    280.73 K ,    81.9 % ,    96.121 kPa
225587 ,    280.73 K ,    82.0 % ,    96.119 kPa
226592 ,    280.72 K ,    82.1 % ,    96.121 kPa
227599 ,    280.71 K ,    82.1 % ,    96.120 kPa
228605 ,    280.67 K ,    82.2 % ,    96.120 kPa
229612 ,    280.65 K ,    82.3 % ,    96.121 kPa
230619 ,    280.62 K ,    82.3 % ,    96.121 kPa
231625 ,    280.59 K ,    82.4 % ,    96.121 kPa
232632 ,    280.58 K ,    82.5 % ,    96.118 kPa
233637 ,    280.58 K ,    82.6 % ,    96.121 kPa
234644 ,    280.56 K ,    82.6 % ,    96.119 kPa
235651 ,    280.55 K ,    82.7 % ,    96.118 kPa
236657 ,    280.54 K ,    82.8 % ,    96.118 kPa
237664 ,    280.55 K ,    82.9 % ,    96.118 kPa
238670 ,    280.54 K ,    82.9 % ,    96.116 kPa
239677 ,    280.52 K ,    83.0 % ,    96.117 kPa
240683 ,    280.50 K ,    83.0 % ,    96.119 kPa
241689 ,    280.50 K ,    83.1 % ,    96.119 kPa
242696 ,    280.50 K ,    83.2 % ,    96.120 kPa
243702 ,    280.50 K ,    83.3 % ,    96.118 kPa
244709 ,    280.50 K ,    83.4 % ,    96.121 kPa
245715 ,    280.49 K ,    83.5 % ,    96.121 kPa
246722 ,    280.47 K ,    83.5 % ,    96.122 kPa
247728 ,    280.46 K ,    83.6 % ,    96.116 kPa
248734 ,    280.47 K ,    83.7 % ,    96.117 kPa
249741 ,    280.46 K ,    83.7 % ,    96.114 kPa
250747 ,    280.46 K ,    83.8 % ,    96.116 kPa
251754 ,    280.52 K ,    83.9 % ,    96.119 kPa
252761 ,    280.52 K ,    84.0 % ,    96.118 kPa
253767 ,    280.50 K ,    84.0 % ,    96.122 kPa
254773 ,    280.50 K ,    84.1 % ,    96.120 kPa
255779 ,    280.50 K ,    84.2 % ,    96.120 kPa
256786 ,    280.50 K ,    84.3 % ,    96.120 kPa
257793 ,    280.50 K ,    84.4 % ,    96.121 kPa
258799 ,    280.51 K ,    84.4 % ,    96.118 kPa
259806 ,    280.55 K ,    84.6 % ,    96.121 kPa
260812 ,    280.55 K ,    84.7 % ,    96.120 kPa
261818 ,    280.54 K ,    84.8 % ,    96.119 kPa
262824 ,    280.61 K ,    84.9 % ,    96.120 kPa
263831 ,    280.66 K ,    84.9 % ,    96.120 kPa
264838 ,    280.59 K ,    84.9 % ,    96.117 kPa
265844 ,    280.56 K ,    84.9 % ,    96.117 kPa
266851 ,    280.55 K ,    85.0 % ,    96.116 kPa
267857 ,    280.55 K ,    85.1 % ,    96.118 kPa
268863 ,    280.53 K ,    85.2 % ,    96.119 kPa
269870 ,    280.53 K ,    85.3 % ,    96.118 kPa
270876 ,    280.57 K ,    85.0 % ,    96.118 kPa
271883 ,    280.58 K ,    85.4 % ,    96.118 kPa
272889 ,    280.56 K ,    85.4 % ,    96.121 kPa
273896 ,    280.56 K ,    85.5 % ,    96.118 kPa
274903 ,    280.54 K ,    85.5 % ,    96.122 kPa
275908 ,    280.53 K ,    85.6 % ,    96.116 kPa
276915 ,    280.56 K ,    85.7 % ,    96.116 kPa
277921 ,    280.58 K ,    85.8 % ,    96.117 kPa
278928 ,    280.62 K ,    85.9 % ,    96.119 kPa
279934 ,    280.62 K ,    85.9 % ,    96.117 kPa
280941 ,    280.67 K ,    86.0 % ,    96.117 kPa
281948 ,    280.69 K ,    86.1 % ,    96.120 kPa
282953 ,    280.69 K ,    86.2 % ,    96.121 kPa
283960 ,    280.70 K ,    86.2 % ,    96.120 kPa
284966 ,    280.71 K ,    86.3 % ,    96.120 kPa
285973 ,    280.71 K ,    86.3 % ,    96.119 kPa
286980 ,    280.70 K ,    86.3 % ,    96.119 kPa
287986 ,    280.71 K ,    86.4 % ,    96.117 kPa
288993 ,    280.71 K ,    86.5 % ,    96.118 kPa
289999 ,    280.71 K ,    86.5 % ,    96.121 kPa
291005 ,    280.70 K ,    86.5 % ,    96.115 kPa
292012 ,    280.70 K ,    86.6 % ,    96.115 kPa
293018 ,    280.71 K ,    86.6 % ,    96.120 kPa
294025 ,    280.69 K ,    86.8 % ,    96.117 kPa
295031 ,    280.71 K ,    86.8 % ,    96.115 kPa
296038 ,    280.71 K ,    86.8 % ,    96.118 kPa
297044 ,    280.70 K ,    86.9 % ,    96.113 kPa
298050 ,    280.71 K ,    86.9 % ,    96.120 kPa
299057 ,    280.71 K ,    87.1 % ,    96.120 kPa
300063 ,    280.70 K ,    87.1 % ,    96.119 kPa
301070 ,    280.71 K ,    87.2 % ,    96.118 kPa
302076 ,    280.71 K ,    87.2 % ,    96.116 kPa
303083 ,    280.71 K ,    87.3 % ,    96.118 kPa
304090 ,    280.72 K ,    87.3 % ,    96.118 kPa
305095 ,    280.70 K ,    87.3 % ,    96.121 kPa
306102 ,    280.68 K ,    87.4 % ,    96.120 kPa
307108 ,    280.69 K ,    87.5 % ,    96.121 kPa
308115 ,    280.72 K ,    87.5 % ,    96.122 kPa
309122 ,    280.71 K ,    87.6 % ,    96.118 kPa
310128 ,    280.70 K ,    87.7 % ,    96.121 kPa
311135 ,    280.66 K ,    87.7 % ,    96.119 kPa
312140 ,    280.66 K ,    87.8 % ,    96.120 kPa
313147 ,    280.66 K ,    87.9 % ,    96.121 kPa
314153 ,    280.69 K ,    87.9 % ,    96.120 kPa
315160 ,    280.68 K ,    88.0 % ,    96.121 kPa
316167 ,    280.67 K ,    88.1 % ,    96.122 kPa
