Tempo relativo (ms) , Temperatura (C), Umidita (%), Pressione (hPa)
148078 ,    300.99 K ,    0.0 % ,    82.662 kPa
149085 ,    300.97 K ,    0.0 % ,    82.655 kPa
150091 ,    300.94 K ,    0.0 % ,    82.651 kPa
151098 ,    300.94 K ,    0.0 % ,    82.650 kPa
152104 ,    300.91 K ,    0.0 % ,    82.649 kPa
153110 ,    300.89 K ,    0.0 % ,    82.642 kPa
154117 ,    300.87 K ,    0.0 % ,    82.641 kPa
155123 ,    300.85 K ,    0.0 % ,    82.640 kPa
156130 ,    300.83 K ,    0.0 % ,    82.639 kPa
157135 ,    300.83 K ,    0.0 % ,    82.639 kPa
158142 ,    300.79 K ,    0.0 % ,    82.635 kPa
159149 ,    300.78 K ,    0.0 % ,    82.637 kPa
160155 ,    300.75 K ,    0.0 % ,    82.635 kPa
161162 ,    300.74 K ,    0.0 % ,    82.631 kPa
162167 ,    300.71 K ,    0.0 % ,    82.633 kPa
163174 ,    300.70 K ,    0.0 % ,    82.624 kPa
164180 ,    300.68 K ,    0.0 % ,    82.618 kPa
165187 ,    300.67 K ,    0.0 % ,    82.669 kPa
166193 ,    300.64 K ,    0.0 % ,    82.608 kPa
167199 ,    300.61 K ,    0.0 % ,    82.589 kPa
168206 ,    300.59 K ,    0.0 % ,    82.553 kPa
169212 ,    300.56 K ,    0.0 % ,    82.541 kPa
170219 ,    300.56 K ,    0.0 % ,    82.522 kPa
171225 ,    300.54 K ,    0.0 % ,    82.468 kPa
172231 ,    300.51 K ,    0.0 % ,    82.434 kPa
173238 ,    300.47 K ,    0.0 % ,    82.374 kPa
174244 ,    300.47 K ,    0.0 % ,    82.340 kPa
175251 ,    300.44 K ,    0.0 % ,    82.297 kPa
176257 ,    300.41 K ,    0.0 % ,    82.252 kPa
177263 ,    300.38 K ,    0.0 % ,    82.212 kPa
178270 ,    300.36 K ,    0.0 % ,    82.174 kPa
179276 ,    300.31 K ,    0.0 % ,    82.110 kPa
180282 ,    300.28 K ,    0.0 % ,    82.072 kPa
181288 ,    300.23 K ,    0.0 % ,    82.028 kPa
182295 ,    300.21 K ,    0.0 % ,    81.991 kPa
183302 ,    300.16 K ,    0.0 % ,    81.950 kPa
184308 ,    300.13 K ,    0.0 % ,    81.910 kPa
185314 ,    300.08 K ,    0.0 % ,    81.852 kPa
186320 ,    300.03 K ,    0.0 % ,    81.818 kPa
187327 ,    300.00 K ,    0.0 % ,    81.781 kPa
188334 ,    299.93 K ,    0.0 % ,    81.749 kPa
189339 ,    299.90 K ,    0.0 % ,    81.703 kPa
190346 ,    299.85 K ,    0.0 % ,    81.661 kPa
191352 ,    299.79 K ,    0.0 % ,    81.600 kPa
192359 ,    299.74 K ,    0.0 % ,    81.566 kPa
193366 ,    299.69 K ,    0.0 % ,    81.529 kPa
194371 ,    299.64 K ,    0.0 % ,    81.491 kPa
195378 ,    299.60 K ,    0.0 % ,    81.455 kPa
196384 ,    299.54 K ,    0.0 % ,    81.418 kPa
197391 ,    299.47 K ,    0.0 % ,    81.365 kPa
198396 ,    299.44 K ,    0.0 % ,    81.335 kPa
199403 ,    299.37 K ,    0.0 % ,    81.297 kPa
200410 ,    299.33 K ,    0.0 % ,    81.260 kPa
201416 ,    299.27 K ,    0.0 % ,    81.227 kPa
202423 ,    299.22 K ,    0.0 % ,    81.195 kPa
203428 ,    299.16 K ,    0.0 % ,    81.148 kPa
204435 ,    299.10 K ,    0.0 % ,    81.111 kPa
205442 ,    299.05 K ,    0.0 % ,    81.082 kPa
206448 ,    298.98 K ,    0.0 % ,    81.044 kPa
207454 ,    298.94 K ,    0.0 % ,    81.017 kPa
208460 ,    298.87 K ,    0.0 % ,    80.983 kPa
209467 ,    298.80 K ,    0.0 % ,    80.938 kPa
210473 ,    298.75 K ,    0.0 % ,    80.907 kPa
211480 ,    298.68 K ,    0.0 % ,    80.876 kPa
212486 ,    298.63 K ,    0.0 % ,    80.851 kPa
213492 ,    298.58 K ,    0.0 % ,    80.822 kPa
214499 ,    298.51 K ,    0.0 % ,    80.793 kPa
215505 ,    298.44 K ,    0.0 % ,    80.753 kPa
216511 ,    298.38 K ,    0.0 % ,    80.723 kPa
217518 ,    298.31 K ,    0.0 % ,    80.695 kPa
218524 ,    298.27 K ,    0.0 % ,    80.671 kPa
219531 ,    298.20 K ,    0.0 % ,    80.640 kPa
220537 ,    298.16 K ,    0.0 % ,    80.620 kPa
221543 ,    298.08 K ,    0.0 % ,    80.582 kPa
222550 ,    298.01 K ,    0.0 % ,    80.553 kPa
223556 ,    297.96 K ,    0.0 % ,    80.532 kPa
224563 ,    297.90 K ,    0.0 % ,    80.506 kPa
225568 ,    297.84 K ,    0.0 % ,    80.480 kPa
226575 ,    297.79 K ,    0.0 % ,    80.457 kPa
227581 ,    297.73 K ,    0.0 % ,    80.429 kPa
228588 ,    297.65 K ,    0.0 % ,    80.396 kPa
229595 ,    297.60 K ,    0.0 % ,    80.376 kPa
230600 ,    297.53 K ,    0.0 % ,    80.353 kPa
231607 ,    297.48 K ,    0.0 % ,    80.333 kPa
232613 ,    297.41 K ,    0.0 % ,    80.305 kPa
233620 ,    297.33 K ,    0.0 % ,    80.279 kPa
234627 ,    297.25 K ,    0.0 % ,    80.229 kPa
235632 ,    297.22 K ,    0.0 % ,    80.197 kPa
236639 ,    297.14 K ,    0.0 % ,    80.167 kPa
237645 ,    297.07 K ,    0.0 % ,    80.139 kPa
238652 ,    297.01 K ,    0.0 % ,    80.110 kPa
239657 ,    296.95 K ,    0.0 % ,    80.071 kPa
240664 ,    296.87 K ,    0.0 % ,    80.020 kPa
241671 ,    296.82 K ,    0.0 % ,    79.988 kPa
242677 ,    296.74 K ,    0.0 % ,    79.956 kPa
243684 ,    296.67 K ,    0.0 % ,    79.922 kPa
244689 ,    296.62 K ,    0.0 % ,    79.894 kPa
245696 ,    296.55 K ,    0.0 % ,    79.864 kPa
246703 ,    296.46 K ,    0.0 % ,    79.819 kPa
247709 ,    296.39 K ,    0.0 % ,    79.791 kPa
248715 ,    296.33 K ,    0.0 % ,    79.766 kPa
249721 ,    296.26 K ,    0.0 % ,    79.739 kPa
250728 ,    296.20 K ,    0.0 % ,    79.715 kPa
251735 ,    296.15 K ,    0.0 % ,    79.692 kPa
252741 ,    296.07 K ,    0.0 % ,    79.666 kPa
253747 ,    295.96 K ,    0.0 % ,    79.633 kPa
254753 ,    295.89 K ,    0.0 % ,    79.610 kPa
